rgt,cycle,trans_type,lat_req,lon_req,asc_req,lon_actual,lat_actual,asc_actual,trans_file,crr_id,tdif,conflict,priority,accept,,,,
18,0,0,1.076,-41.764,0,,,,V2.0,,,,1,y,,,,
18,0,1,71.505,137.2,1,,,,V2.0,,,,1,y,36.071633,130.396264,Pushed Up,
18,0,0,24.116,129.02,1,,,,V2.0,,,,1,y,,,,
18,0,1,11.8,127.74,1,,,,V2.0,,,,1,y,,,,
18,0,0,-37.709,122.55,1,,,,V2.0,,,,1,y,,,,
18,0,1,-43.094,-60.592,0,,,,V2.0,,,,1,y,,,,
19,0,0,21.399,-67.452,0,,,,V2.0,,,,1,y,,,,
19,0,1,38.644,-69.392,0,,,,V2.0,,,,1,y,,,,
19,0,0,60.746,-72.808,0,,,,V2.0,,,,1,y,,,,
19,0,1,73.71,114.6,1,,,,V2.0,,,,1,y,45.956534,107.939863,Push Up,
19,0,0,-9.161,102.02,1,,,,V2.0,,,,1,y,,,,
20,0,1,10.198,-89.917,0,,,,V2.0,,,,1,y,,,,
20,0,0,64.23,-97.223,0,,,,V2.0,,,,1,y,39.729375,-93.142266,Push Back,
20,0,1,76.541,92.679,1,,,,V2.0,,,,1,y,26.963322,82.088154,Push Up,
20,0,0,2.6811,79.585,1,,,,V2.0,,,,1,y,,,,
21,0,1,23.31,-114.89,0,,,,V2.0,,,,1,y,,,,
21,0,0,69.92,-122.54,0,,,,V2.0,,,,1,y,35.757568,-116.270561,Push Back,
21,0,1,69.14,65.455,1,,,,V2.0,,,,1,y,44.754715,60.592593,Push Up,
21,0,0,14.046,57.112,1,,,,V2.0,,,,1,y,,,,
21,0,1,-31.187,-132.89,0,,,,V2.0,,,,1,y,,,,
21,0,0,-9.3227,-135.2,0,,,,V2.0,,,,1,y,,,,
22,0,1,56.14,-142.77,0,,,,V2.0,,,,1,y,,,,
22,0,0,69.585,-146.05,0,,,,V2.0,,,,1,y,,,,
22,0,1,66.452,41.004,1,,,,V2.0,,,,1,y,36.771726,35.967549,Push up,
22,0,0,-37.538,28.092,1,,,,V2.0,,,,1,y,,,,
22,0,1,-31.662,-156.45,0,,,,V2.0,,,,1,y,,,,
23,0,0,26.669,-162.49,0,,,,V2.0,,,,1,y,,,,
23,0,1,70.085,18.558,1,,,,V2.0,,,,1,y,45.527618,13.32798,Push up,
23,0,0,-5.3183,7.9259,1,,,,V2.0,,,,1,y,,,,
23,0,1,-31.657,179.93,0,,,,V2.0,,,,1,y,,,,
24,0,0,3.4713,176.28,0,,,,V2.0,,,,1,y,,,,
24,0,1,56.775,169.87,0,,,,V2.0,,,,1,y,,,,
24,0,0,69.604,166.7,0,,,,V2.0,,,,1,y,,,,
24,0,1,35.46,-11.426,1,,,,V2.0,,,,1,y,,,,
24,0,0,4.7649,-14.684,1,,,,V2.0,,,,1,y,,,,
24,0,1,-17.465,154.78,0,,,,V2.0,,,,1,y,,,,
25,0,0,12.76,151.72,0,,,,V2.0,,,,1,y,,,,
25,0,1,54.24,146.69,0,,,,V2.0,,,,1,y,,,,
25,0,0,72.606,141.87,0,,,,V2.0,,,,1,y,,,,
25,0,1,0.75793,-38.704,1,,,,V2.0,,,,1,y,,,,
25,0,0,-26.724,-41.529,1,,,,V2.0,,,,1,y,,,,
25,0,1,-36.581,133.26,0,,,,V2.0,,,,1,y,,,,
26,0,0,6.3627,128.75,0,,,,V2.0,,,,1,y,,,,
26,0,1,22.041,127.14,0,,,,V2.0,,,,1,y,,,,
26,0,0,73.71,117.73,0,,,,V2.0,,,,1,y,38.608193,125.277555,Push Back,
26,0,1,20.117,-60.357,1,,,,V2.0,,,,1,y,,,,
26,0,0,-60.042,-69.794,1,,,,V2.0,,,,1,y,,,,
26,0,1,-12.186,106.99,0,,,,V2.0,,,,1,y,,,,
27,0,0,76.068,92.734,0,,,,V2.0,,,,1,y,27.952102,102.889385,Push Back,
27,0,1,55.512,-79.492,1,,,,V2.0,,,,1,y,39.681801,125.277555,Push Up,
27,0,0,5.5606,-85.463,1,,,,V2.0,,,,1,y,,,,
28,0,1,2.5187,81.897,0,,,,V2.0,,,,1,y,,,,
28,0,0,68.817,72.501,0,,,,V2.0,,,,1,y,28.920595,79.16585,Push Back,
28,0,1,65.188,-101.07,1,,,,V2.0,,,,1,y,34.769057,-105.989347,Push Up,
28,0,0,17.568,-107.86,1,,,,V2.0,,,,1,y,,,,
29,0,1,14.511,57.067,0,,,,V2.0,,,,1,y,,,,
29,0,0,68.335,49.037,0,,,,V2.0,,,,1,y,43.982838,53.744818,Push Back,
29,0,1,68.983,-123.55,1,,,,V2.0,,,,1,y,,,,
29,0,0,45.986,-128.19,1,,,,V2.0,,,,1,y,,,,
29,0,1,-9.9437,-134.26,1,,,,V2.0,,,,1,y,,,,
29,0,0,-31.326,-136.52,1,,,,V2.0,,,,1,y,,,,
