rgt,trans_type,lat,lon
50,0,7.328,91.471
51,1,13.709,-102.47
51,0,65.962,-109.87
51,1,69.778,77.097
51,0,17.571,68.894
52,1,48.186,-130.09
52,0,70.544,-134.98
52,1,68.99,53.207
52,0,-5.3074,42.967
52,1,-31.829,-145.02
53,0,5.7051,-148.9
53,1,52.163,-154.31
53,0,70.223,-158.48
53,1,71.041,30.342
53,0,-35.943,16.083
53,1,-31.826,-168.63
54,0,15.95,-173.56
54,1,56.631,2.9907
54,0,0.92783,-3.6484
54,1,-51.186,170.26
55,0,15.63,162.85
55,1,47.712,159.12
55,0,70.874,154.03
55,1,-47.701,146.12
56,0,5.3939,140.27
56,1,30.341,137.66
56,0,72.443,129.75
56,1,8.6041,-50.116
56,0,-38.656,-55.101
56,1,-37.7,121.2
57,0,76.532,103.83
57,1,60.753,-67.067
57,0,38.65,-70.483
57,1,25.08,-72.031
57,0,-18.903,-76.514
58,1,2.6734,93.302
58,0,70.864,83.184
58,1,59.171,-91.014
58,0,12.451,-96.968
59,1,19.63,67.958
59,0,69.282,60.141
59,1,68.2,-112.39
59,0,25.729,-119.2
59,1,-28.005,49.217
60,0,66.595,37.364
60,1,69.608,-135.53
60,0,54.887,-139.04
60,1,-0.66927,-145.53
60,0,-31.329,-148.72
60,1,-37.393,26.679
61,0,67.697,13.413
61,1,20.454,-167.0
61,0,-31.805,-172.39
62,1,1.0642,-1.0142
62,0,65.169,-9.4865
62,1,20.928,169.43
62,0,-26.397,164.59
63,1,70.871,154.08
63,0,55.357,150.19
63,1,24.278,146.17
63,0,-41.836,139.16
63,1,-28.152,-45.239
64,0,3.4759,-48.493
64,1,71.823,130.85
64,0,-38.501,115.96
64,1,-53.708,-65.532
65,0,23.157,-74.127
65,1,32.581,-75.163
65,0,57.573,-78.666
65,1,75.127,108.89
65,0,-3.0818,96.139
66,1,12.75,-96.665
66,0,65.488,-104.04
66,1,70.093,82.922
66,0,7.10561,73.53968
67,1,32.728,-122.42
67,0,69.572,-128.91
67,1,68.673,58.812
67,0,-29.099,46.199
67,1,-31.193,-139.38
67,0,-1.8103,-142.44
68,1,54.547,-148.99
68,0,71.019,-153.08
68,1,67.565,34.845
68,0,-38.328,21.507
68,1,-31.667,-162.94
69,0,18.51,-168.12
69,1,65.506,10.637
69,0,2.8468,2.2542
69,1,-46.118,175.23
70,0,20.754,168.03
70,1,52.806,164.06
70,0,70.868,159.74
70,1,-41.987,151.06
71,0,11.154,145.4
71,1,34.651,142.88
71,0,72.128,135.6
