rgt,trans_type,lat,lon,asc_req
1,1,1.3915000000000002,-0.26823,0
1,0,66.126,-8.9673,0
1,1,19.801,170.08999999999997,1
1,0,-26.404,165.37,1
2,1,50.752008678570746,150.2213679499419,1
2,0,40.31018462104622,148.78736259163117,1
2,1,13.9197633568894,145.8656338817676,1
2,0,-41.684,139.96,1
2,1,-27.666999999999998,-44.514,0
3,0,3.4767999999999994,-47.715,0
3,1,38.89276625889772,124.99024889945395,1
3,0,-38.50300000000001,116.74,1
3,1,-51.96699999999999,-65.03399999999999,0
4,0,24.916,-73.53599999999999,0
4,1,45.62433600628868,102.24096876836889,0
4,0,39.46571218581889,101.44160057799549,0
4,1,26.822735144094324,99.98207989142712,1
4,0,-3.8831000000000007,96.83699999999999,1
5,1,12.758000000000001,-95.88699999999999,0
5,0,41.4140077824002,-99.06403776957401,0
5,1,30.208378341690338,76.7369727705927,1
5,0,6.201599999999999,74.228,1
6,1,30.660000000000007,-121.4,0
6,0,39.601187171790244,-122.455939090833,0
6,1,43.85578613677089,54.765647741434655,1
6,0,-29.106999999999996,46.97599999999999,1
6,1,-31.026000000000007,-138.62,0
6,0,-1.9628000000000003,-141.65,0
7,1,42.223754389710834,30.934370250204612,0
7,0,-38.6784910572349,22.242327476991782,0
7,1,-33.16200755214231,-161.99246723422306,1
8,0,20.109999999999996,-167.5,0
8,1,42.74723486404986,7.38300390016278,1
8,0,2.5256000000000003,3.0007999999999995,1
8,1,-45.00699999999999,175.86,0
9,0,16.982914388171366,169.20066488218743,0
9,1,-38.09803002036498,151.35296277646765,0
10,0,13.940130702405495,145.89393415842326,0
10,1,1.886542451749058,-44.30097856715025,0
10,0,-27.45075811690253,-47.318271607779515,0
10,1,-34.30262799885999,127.28168810664788,1
11,0,42.153405273210524,119.12264162719286,0
11,1,22.45471461118131,-65.82135005349645,1
11,0,-56.782972140137325,-74.87362646431401,1
11,1,-7.45984367494508,100.80629394374559,1
12,0,26.868467507220586,97.29735742419334,0
12,1,39.781705923523724,-87.4752053358956,1
12,0,9.718899999999998,-90.75499999999998,1
13,1,5.5533,75.882,0
13,0,32.37678175963686,73.06303370331199,0
13,1,36.76172364340101,-111.46338474281269,1
13,0,20.928999999999995,-113.22,1
14,1,6.1902,52.19899999999999,0
14,0,30.814290548993224,49.61983273076769,0
14,1,-4.593924491599616,-139.4298483342425,1
14,0,-31.331000000000003,-142.22999999999996,1
14,1,-32.61999999999999,32.607,0
15,0,40.73128250910884,24.823526602039006,0
15,1,26.46308756218168,-159.87008977015847,1
15,0,-31.176,-165.83,1
16,1,0.7515199999999999,5.5059,0
16,0,64.069,-2.7149,0
16,1,9.241899999999996,174.71999999999997,1
16,0,-31.693664375337065,170.49005312844557,1
16,1,-40.40378885823171,169.4520372671078,1
16,0,-51.65899999999999,167.88999999999996,1
17,1,14.09335548999884,151.5937102681176,1
17,0,-46.43239279800738,145.0375843354664,1
17,1,-22.75100951596844,-39.3342297177972,1
18,0,1.0759999999999998,-41.764,0
18,1,71.505,137.2,1
18,0,24.115999999999993,129.02,1
18,1,11.799999999999999,127.74,1
18,0,-37.709,122.55000000000001,1
18,1,-43.094,-60.592000000000006,0
19,0,21.399,-67.452,0
19,1,45.97926106797205,107.9998981179656,0
19,0,-8.833938717577906,102.04969782511385,0
20,1,10.197999999999999,-89.91699999999999,0
20,0,39.74206454817081,-93.14371516272661,0
20,1,26.971805030265642,82.08952025159412,1
20,0,2.6811000000000003,79.58499999999998,1
21,1,23.309999999999995,-114.89,0
21,0,35.763132354365816,-116.28091339368564,0
21,1,44.757367658180094,60.59537586025278,1
21,0,14.045999999999998,57.112,1
21,1,-31.186999999999994,-132.89,0
21,0,-9.322699999999998,-135.2,0
22,1,36.77192350016619,35.967861226815,0
22,0,-36.681367067049244,28.19511915737493,0
22,1,-33.081598926676556,-156.29177191422446,1
23,0,26.669,-162.49,0
23,1,44.52779871888803,13.32798852642714,1
23,0,-5.3183,7.925900000000001,1
23,1,-31.656999999999996,179.92999999999998,0
24,0,3.4713,176.27999999999997,0
24,1,60.434922471803866,-7.690615453554459,0
24,0,48.151099150005784,-9.788189308768015,0
24,1,35.46,-11.426,1
24,0,4.7649,-14.684,1
24,1,-17.465,154.78000000000003,0
25,0,12.76,151.72,0
25,1,40.30770501970277,148.6845346227717,0
25,0,72.606,141.87,0
25,1,0.75793,-38.70399999999999,1
25,0,-26.723999999999997,-41.529,1
25,1,-36.580999999999996,133.26000000000002,0
26,0,6.3627,128.75,0
26,1,22.041,127.14,0
26,0,38.610268098502,125.2772605768508,0
26,1,20.117,-60.357000000000006,1
26,0,-60.042,-69.794,1
26,1,-12.185999999999996,106.98999999999998,0
27,0,27.953059363618525,102.88917137155532,0
27,1,39.43489179047023,101.55729476966746,0
27,0,45.196105608242846,100.81253655013927,0
27,1,39.68866035763298,-81.77606001999312,1
27,0,5.5606,-85.463,1
28,1,2.5187,81.897,0
28,0,28.92231839422572,79.16184260352671,0
28,1,34.768899209207255,-105.98896547901813,1
28,0,17.568,-107.86,1
29,1,14.510999999999997,57.06699999999999,0
29,0,43.995980890853424,53.73262163483947,0
29,1,-9.943700000000002,-134.26,1
29,0,-31.325999999999997,-136.52,1
29,1,-22.583,37.212999999999994,0
30,0,42.35963017390622,30.326330878209202,0
30,1,25.74573630197227,-154.2382553680048,1
30,0,-33.139599276750765,-160.3466044007532,1
30,1,-30.55,14.464,0
31,0,63.274,3.1888999999999994,0
31,1,13.80460903386628,-179.1071410465474,1
31,0,5.129143947923583,-179.9838360425505,1
31,1,-0.99529,179.4,1
31,0,-47.21999999999999,174.25999999999996,1
32,1,3.313800000000001,-12.659,0
